run_id,domain,task,seed,avg3,final
puzzle-3x3-play__task3__sd2,puzzle-3x3-play,task3,sd2,1.0,1.0
puzzle-3x3-play__task3__sd3,puzzle-3x3-play,task3,sd3,1.0,1.0
puzzle-3x3-play__task3__sd4,puzzle-3x3-play,task3,sd4,1.0,1.0
puzzle-3x3-play__task3__sd5,puzzle-3x3-play,task3,sd5,1.0,1.0
puzzle-3x3-play__task3__sd6,puzzle-3x3-play,task3,sd6,1.0,1.0
puzzle-3x3-play__task3__sd7,puzzle-3x3-play,task3,sd7,1.0,1.0
puzzle-3x3-play__task4__sd0,puzzle-3x3-play,task4,sd0,1.0,1.0
puzzle-3x3-play__task4__sd1,puzzle-3x3-play,task4,sd1,1.0,1.0
puzzle-3x3-play__task4__sd2,puzzle-3x3-play,task4,sd2,1.0,1.0
puzzle-3x3-play__task4__sd3,puzzle-3x3-play,task4,sd3,1.0,1.0
puzzle-3x3-play__task4__sd4,puzzle-3x3-play,task4,sd4,1.0,1.0
puzzle-3x3-play__task4__sd5,puzzle-3x3-play,task4,sd5,1.0,1.0
scene-play__task1__sd0,scene-play,task1,sd0,0.98,0.98
scene-play__task1__sd1,scene-play,task1,sd1,1.0,1.0
scene-play__task1__sd2,scene-play,task1,sd2,0.9866666666666667,1.0
scene-play__task1__sd3,scene-play,task1,sd3,1.0,1.0
scene-play__task1__sd4,scene-play,task1,sd4,1.0,1.0
scene-play__task1__sd5,scene-play,task1,sd5,1.0,1.0
scene-play__task1__sd6,scene-play,task1,sd6,0.9866666666666667,0.96
scene-play__task1__sd7,scene-play,task1,sd7,1.0,1.0
scene-play__task2__sd0,scene-play,task2,sd0,0.68,0.74
scene-play__task2__sd1,scene-play,task2,sd1,0.7333333333333334,0.74
scene-play__task2__sd2,scene-play,task2,sd2,0.6933333333333334,0.6
scene-play__task2__sd3,scene-play,task2,sd3,0.7933333333333333,0.78
scene-play__task2__sd4,scene-play,task2,sd4,0.7999999999999999,0.76
scene-play__task2__sd5,scene-play,task2,sd5,0.7000000000000001,0.7
scene-play__task2__sd6,scene-play,task2,sd6,0.6933333333333334,0.7
scene-play__task2__sd7,scene-play,task2,sd7,0.7933333333333333,0.68
scene-play__task3__sd0,scene-play,task3,sd0,0.96,0.96
scene-play__task3__sd1,scene-play,task3,sd1,0.9666666666666667,0.98
scene-play__task3__sd2,scene-play,task3,sd2,0.9666666666666667,0.98
scene-play__task3__sd3,scene-play,task3,sd3,0.98,1.0
scene-play__task3__sd4,scene-play,task3,sd4,0.9733333333333333,0.94
scene-play__task3__sd5,scene-play,task3,sd5,0.9266666666666666,0.9
scene-play__task3__sd6,scene-play,task3,sd6,0.9666666666666667,0.98
scene-play__task3__sd7,scene-play,task3,sd7,0.96,0.96
scene-play__task4__sd0,scene-play,task4,sd0,1.0,1.0
scene-play__task4__sd1,scene-play,task4,sd1,1.0,1.0
scene-play__task4__sd2,scene-play,task4,sd2,0.9733333333333333,0.98
scene-play__task4__sd3,scene-play,task4,sd3,0.9933333333333333,1.0
scene-play__task4__sd4,scene-play,task4,sd4,1.0,1.0
scene-play__task4__sd5,scene-play,task4,sd5,0.9866666666666667,0.96
